CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40361998,STEVE CHU'S DELI & GROCERY,QUEENS,3406,10 STREET,11106,7187268888,Delicatessen,3/4/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,3/4/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362098,HARRIET'S KITCHEN,MANHATTAN,502,AMSTERDAM AVENUE                                  ,10024,2127210045,Chicken,9/15/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,9/15/2014,10/1/2015,Cycle Inspection / Initial Inspection
40362264,P & S DELI GROCERY,MANHATTAN,730,COLUMBUS AVENUE                                   ,10025,2129323030,American ,3/19/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,3/19/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2129952570,American ,8/11/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,8/11/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,7187796903,Chinese,3/31/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,3/31/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,8/21/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,8/21/2015,10/1/2015,Cycle Inspection / Re-inspection
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET                                  ,11203,3474300871,Caribbean,6/15/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/15/2015,10/1/2015,Cycle Inspection / Re-inspection
40363093,CARVEL ICE CREAM,BRONX,1006,EAST  233 STREET                                  ,10466,7186526827,"Ice Cream, Gelato, Yogurt, Ices",4/13/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,4/13/2015,10/1/2015,Cycle Inspection / Initial Inspection
40363098,DUNKIN' DONUTS,BROOKLYN,56,COURT STREET                                      ,11201,7186252068,Donuts,12/30/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,12/30/2014,10/1/2015,Cycle Inspection / Initial Inspection
40363151,OLIVE'S,MANHATTAN,120,PRINCE STREET                                     ,10012,2129410111,Sandwiches/Salads/Mixed Buffet,8/14/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,8/14/2015,10/1/2015,Cycle Inspection / Re-inspection
40363289,HAPPY GARDEN,BRONX,1236,238 SPOFFORD AVE,10474,7186171818,Chinese,7/9/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,19,Z,7/9/2015,10/1/2015,Cycle Inspection / Re-inspection
40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2127149342,American ,5/18/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,5/18/2015,10/1/2015,Cycle Inspection / Initial Inspection
40363333,TONY'S DELI,QUEENS,1069,WYCKOFF AVENUE                                                                                      ,11385,7183867925,Delicatessen,5/13/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,5/13/2015,10/1/2015,Cycle Inspection / Initial Inspection
40363426,LEXLER DELI,MANHATTAN,405,LEXINGTON AVENUE                                  ,10174,2126870820,Sandwiches/Salads/Mixed Buffet,2/9/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,2/9/2015,10/1/2015,Cycle Inspection / Initial Inspection
